"","name","period","night_date","night_12hr","day_12hr","X","home_range","core_range","cohort","morph","fixes"
"82","Fauna","Baseline",2018-06-12,6,163,51,42.0198322509766,8.38345417480469,"Resident","Fawn",157
"83","Fauna","Baseline",2018-06-10,4,161,49,91.1741021484375,18.7863434082031,"Resident","Fawn",157
"84","Fauna","Baseline",2018-06-18,12,169,46,54.529988671875,10.5570008056641,"Resident","Fawn",157
"85","Fauna","Baseline",2018-06-19,13,170,47,53.4418044433594,8.8003404296875,"Resident","Fawn",157
"86","Fauna","Baseline",2018-06-14,8,165,53,5.10474716796875,1.02416333007812,"Resident","Fawn",157
"87","Fauna","Baseline",2018-06-20,14,171,48,99.6947803710938,28.8910065185547,"Resident","Fawn",157
"88","Fauna","Baseline",2018-06-13,7,164,52,35.2504075195313,6.05419504394531,"Resident","Fawn",157
"89","Fauna","Baseline",2018-06-15,9,166,54,53.3868249267578,13.6774569580078,"Resident","Fawn",157
"90","Fauna","Baseline",2018-06-11,5,162,50,36.5397391601563,6.49806040039063,"Resident","Fawn",157
"91","Fauna","Baseline",2018-06-16,10,167,55,73.8825623291016,18.8962730957031,"Resident","Fawn",157
"92","Flora","Baseline",2018-06-10,4,161,83,12.9748334472656,3.06471259765625,"Resident","Fawn",131
"93","Flora","Baseline",2018-06-12,6,163,85,107.99611784668,29.0842958251953,"Resident","Fawn",131
"94","Flora","Baseline",2018-06-22,16,173,75,114.713342626953,21.9548521728516,"Resident","Fawn",131
"95","Flora","Baseline",2018-06-17,11,168,87,27.7546386962891,7.24513310546875,"Resident","Fawn",131
"96","Flora","Baseline",2018-06-11,5,162,84,44.9284945068359,11.6195185791016,"Resident","Fawn",131
"97","Flora","Baseline",2018-06-25,19,176,76,29.0540953125,7.97781765136719,"Resident","Fawn",131
"98","Flora","Baseline",2018-06-16,10,167,86,10.5135314208984,1.84037360839844,"Resident","Fawn",131
"99","Flora","Baseline",2018-06-18,12,169,74,109.162796655273,30.4151560791016,"Resident","Fawn",131
