"","quoll1","quoll2","period","prox","cr","cs.Do","cs.De","cs.Cs","cs.p.Attract","cs.p.Avoid","ca"
"60","Delta","Luaner","Release",0,-0.148449989669749,844.837903043294,852.038599917295,0.00424350084489776,0.68115234375,0.35009765625,0
"61","Delta","Myrtle","Release",0,0.0768799495304459,1239.12202157756,1237.87897673524,-0.000501834614990446,0.765625,0.2890625,0
"62","Ebony","Dawn","Release",0,0.144281461684358,1137.10804662591,1143.95029775417,0.00299959496657117,0.3424072265625,0.6822509765625,0
"63","Ebony","Delta","Release",0,0.371703995090776,816.253334635754,914.577887685257,0.0568077070609184,0.000437572598457337,0.999603927135468,0
"64","Ebony","Eevee","Release",0.0196078431372549,-0.0128386247349606,930.1119281606,927.156742956896,-0.00159114577748493,0.216906208118633,0.785836556463366,0.0068259385665529
"65","Ebony","Elektra","Release",0,0.0146601359323753,1562.56855707631,1570.23159263414,0.00244606588088217,0.669097702950239,0.33908948302269,0
"66","Ebony","Flora","Release",0,0.288939531620295,1950.52003262139,1947.07296882125,-0.000884408351222238,0.335262298583984,0.680152893066406,0
"67","Ebony","Indianna","Release",0,-0.006224234372526,1400.55122853707,1402.86559103346,0.000825550621026876,0.741109488003291,0.262024515847614,0
"68","Ebony","Juniper","Release",0,0.242910280734199,1265.03338085627,1406.39273573616,0.0529153151576586,0.339475505053997,0.669159770011902,0
"69","Ebony","Korra","Release",0,-0.108833760369915,1163.72990912769,1161.55981852083,-0.000933256007222548,0.335262298583984,0.680152893066406,0
"70","Ebony","Luaner","Release",0,0.0441222573438672,1449.27105868189,1440.78287635349,-0.00293703249808016,0.416703660808935,0.58811952770111,0
"71","Ebony","Myrtle","Release",0,0.0965440288912593,1738.77943395804,1715.90318370544,-0.00662180952184476,0.999319982679929,0.000700631246638511,0
"72","Ebony","Nova","Release",0.25,-0.00414367147188811,749.564071180964,876.409657616261,0.0780120762031793,0.2734375,0.76953125,0.0174672489082969
"73","Ebony","Olive","Release",0,0.27941122674707,710.626030261126,804.658987267763,0.0620562837478489,0.106071472167969,0.901805877685547,0
"74","Ebony","Pandora","Release",0,-0.123645448304438,1175.91625102734,1186.47892652963,0.00447117214030412,0.64013671875,0.380767822265625,0
"75","Eevee","Dawn","Release",0,-0.640612076971684,793.443189302567,811.974570603379,0.0115430274683754,0.59375,0.5,0
"76","Eevee","Delta","Release",0,-0.520217907516037,414.052005793325,393.312262940074,-0.0256882099647382,0.48291015625,0.55078125,0
"77","Eevee","Ebony","Release",0.0192307692307692,-0.0105347168247129,940.600247813042,934.65427096485,-0.00317075724316434,0.768253352045535,0.234532904809425,0.0068259385665529
"78","Eevee","Elektra","Release",0,0.091754962562731,957.819493452331,964.731125189672,0.00359503238579098,0.68115234375,0.35009765625,0
"79","Eevee","Flora","Release",0,0.181759780151126,1216.06254079083,1217.59810277336,0.000630967997361343,0.51708984375,0.51708984375,0
"80","Eevee","Indianna","Release",0,0.158712107715066,1089.59487502887,1113.0346845451,0.0106417392858197,0.5,0.510542362928391,0
"81","Eevee","Juniper","Release",0,0.274290387731655,1117.99755472328,1155.5169911265,0.0165028354323522,0.3934326171875,0.63232421875,0
"82","Eevee","Korra","Release",0,0.193779955214918,1386.13859811584,1403.74989199856,0.00631254401210881,0.384765625,0.65234375,0
"83","Eevee","Luaner","Release",0.368421052631579,0.0911974097193629,503.725823176647,514.807478333129,0.0108800126024894,0.325374603271484,0.688718795776367,0.0869565217391304
"84","Eevee","Myrtle","Release",0,0.143441689185662,937.812077105682,950.091622766378,0.0065043284048486,0.652649093419313,0.355683200061321,0
"85","Eevee","Nova","Release",0,-0.478886186242373,583.643969180179,683.182440787159,0.078573094801162,0.21875,0.84375,0
"86","Eevee","Olive","Release",0,-0.362230890787882,885.75754991571,737.67247438104,-0.0912174059358168,0.96075439453125,0.0452880859375,0
"87","Eevee","Pandora","Release",0,-0.158811547403258,897.46429957669,936.790734986311,0.0214400040717299,0.28125,0.78125,0
"88","Elektra","Dawn","Release",0,-0.231416693586101,975.85246214861,995.930235169395,0.0101825485374703,0.3125,0.8125,0
"89","Elektra","Delta","Release",0.0555555555555556,-0.450353254078586,1092.61489640953,1093.14372319979,0.000241941990083058,0.289920806884766,0.724563598632812,0.0246913580246914
"90","Elektra","Ebony","Release",0,0.0146601359323753,1562.56855707631,1570.23159263414,0.00244606588088217,0.669097702950239,0.33908948302269,0
"91","Elektra","Eevee","Release",0,0.091754962562731,957.819493452331,964.731125189672,0.00359503238579098,0.48291015625,0.55078125,0
"92","Elektra","Flora","Release",0.222222222222222,0.0144081249440009,185.564387715483,214.002862906113,0.0711731883591296,0.41015625,0.6328125,0.0571428571428571
"93","Elektra","Indianna","Release",0,0.311292362178862,2080.1183794246,2094.1424737055,0.00335965929641921,0.40625,0.6875,0
"94","Elektra","Juniper","Release",0,0.413404744831418,1174.84456510219,1105.79883886495,-0.0302746699098739,0.65625,0.40625,0
"95","Elektra","Korra","Release",0,NA,611.259662795185,611.259662795185,0,1,1,0
"96","Elektra","Luaner","Release",0,-0.223400130008513,1575.5661519542,1562.22095664007,-0.00425305951368776,0.890625,0.1484375,0
"97","Elektra","Myrtle","Release",0,0.0766313080941122,1870.49339868162,1867.44607537833,-0.000815241478477835,0.52734375,0.52734375,0
"98","Flora","Dawn","Release",0,-0.0827837602656879,1130.56608380905,1129.43247119727,-0.00050159882149606,0.5,0.59375,0
"99","Flora","Delta","Release",0,0.0519970305221913,1196.62676446491,1196.60327187759,-9.81626795669219e-06,0.6328125,0.41015625,0
"100","Flora","Ebony","Release",0,0.288939531620295,1950.52003262139,1947.07296882125,-0.000884408351222121,0.929241180419922,0.0770225524902344,0
"101","Flora","Eevee","Release",0,0.181759780151126,1216.06254079083,1217.59810277336,0.000630967997361343,0.61767578125,0.41552734375,0
"102","Flora","Elektra","Release",0.222222222222222,0.0144081249440009,185.564387715483,214.002862906113,0.0711731883591296,0.248046875,0.787109375,0.0571428571428571
"103","Flora","Indianna","Release",0,-0.531588698484598,2051.91683666333,2033.90021479197,-0.00440955178473885,0.78125,0.3125,0
"104","Flora","Juniper","Release",0,0.218926006734562,1184.8781894398,1158.69904895853,-0.0111705900075926,0.51708984375,0.51708984375,0
"105","Flora","Luaner","Release",0,-0.692617347875827,1467.26141187945,1460.8599917192,-0.00218618673132328,0.625,0.625,0
"106","Flora","Myrtle","Release",0,0.0212134866551751,1829.23787735512,1824.66046071156,-0.00125274876859036,0.46875,0.59375,0
"107","Indianna","Dawn","Release",0,NA,1112.13832775286,1115.70789001725,0.00160224805281592,0.5,0.75,0
"108","Indianna","Delta","Release",0,-0.360969495490261,1229.1475823952,1193.29811833324,-0.0147988720866598,0.7109375,0.34375,0
"109","Indianna","Ebony","Release",0,-0.006224234372526,1400.55122853707,1402.86559103346,0.000825550621026876,0.294397310158015,0.708921545983882,0
"110","Indianna","Eevee","Release",0,0.158712107715066,1089.59487502887,1113.0346845451,0.0106417392858197,0.594034820795059,0.416254699230194,0
"111","Indianna","Elektra","Release",0,0.311292362178862,2080.1183794246,2094.1424737055,0.00335965929641921,0.59375,0.5,0
"112","Indianna","Flora","Release",0,-0.531588698484598,2051.91683666333,2033.90021479197,-0.00440955178473885,0.3125,0.78125,0
"113","Indianna","Juniper","Release",0,-0.400254759466598,1967.27305529649,1714.51309190189,-0.0686514515751907,0.999237060546875,0.001007080078125,0
"114","Indianna","Korra","Release",0,0.24610009315319,2198.97732076846,2203.49685714351,0.00102659009284366,0.512689113616943,0.5,0
"115","Indianna","Luaner","Release",0,0.0366145419284823,955.999445883512,1000.81835811849,0.0229039781543891,0.00647158361971378,0.993945369496942,0
"116","Indianna","Myrtle","Release",0,-0.120970273471056,1139.23459322154,1154.79018725674,0.00678091804742994,0.313173144124448,0.693997193127871,0
"117","Indianna","Nova","Release",0,-0.143678408160793,1985.56297540471,1963.60183778231,-0.00556095748373549,0.65625,0.421875,0
"118","Indianna","Olive","Release",0.0434782608695652,0.0870420341362994,1120.97021607614,1160.09604445474,0.0171524295701499,0.250452637672424,0.759023785591125,0.0122699386503067
"119","Indianna","Pandora","Release",0,-0.728852004853717,2167.41817604618,2166.90324171195,-0.000118803910601326,0.41552734375,0.61767578125,0
"120","Juniper","Dawn","Release",0,0.0977716888765351,1310.04230758719,1340.96381199654,0.0116640637608986,0.5,0.578125,0
"121","Juniper","Delta","Release",0,-0.374787136845527,1239.10414248585,1117.0640619233,-0.0517959967094762,0.947265625,0.0654296875,0
"122","Juniper","Ebony","Release",0,0.242910280734199,1265.03338085627,1406.39273573616,0.0529153151576586,0.0476938337087631,0.954717576503754,0
"123","Juniper","Eevee","Release",0,0.274290387731655,1117.99755472328,1155.5169911265,0.0165028354323522,0.36767578125,0.6575927734375,0
"124","Juniper","Elektra","Release",0,0.413404744831418,1174.84456510219,1105.79883886495,-0.0302746699098739,0.9453125,0.078125,0
"125","Juniper","Flora","Release",0,0.218926006734562,1184.8781894398,1158.69904895853,-0.0111705900075926,0.8798828125,0.13916015625,0
"126","Juniper","Indianna","Release",0,-0.400254759466598,1967.27305529649,1714.51309190189,-0.0686514515751907,0.99664306640625,0.004180908203125,0
"127","Juniper","Korra","Release",0.25,-0.374423803534158,648.653546088903,656.839382301221,0.00627030299000715,0.421875,0.62890625,0.0412371134020619
"128","Juniper","Luaner","Release",0,-0.10264935456444,1407.96534742132,1380.86386615737,-0.00971787054294929,0.885345458984375,0.126190185546875,0
"129","Juniper","Myrtle","Release",0,0.298923164972926,2156.42039672774,2166.75033921428,0.00238943662360005,0.65234375,0.384765625,0
"130","Juniper","Nova","Release",0,0.254059003785557,803.242110009123,763.349529992718,-0.0254645684285399,0.6875,0.40625,0
"131","Juniper","Olive","Release",0,0.250991544495876,1582.69333217981,1568.47415415024,-0.00451235235551722,0.6328125,0.41015625,0
"132","Juniper","Pandora","Release",0,-0.0190448966763715,435.940149075483,445.571672755931,0.0109261423861996,0.28515625,0.751953125,0
"133","Korra","Delta","Release",0,NA,1344.48436533393,1318.13629154604,-0.00989554171744508,0.75,0.5,0
"134","Korra","Ebony","Release",0,-0.108833760369915,1163.72990912769,1161.55981852083,-0.000933256007222548,0.815391540527344,0.196369171142578,0
"135","Korra","Eevee","Release",0,0.193779955214918,1386.13859811584,1403.74989199856,0.00631254401210881,0.65234375,0.384765625,0
"136","Korra","Elektra","Release",0,NA,611.259662795185,611.259662795185,0,1,1,0
"137","Korra","Indianna","Release",0,0.196676099761747,2204.93273667413,2207.82521742789,0.000655481398218094,0.34343957901001,0.667500257492065,0
"138","Korra","Juniper","Release",0.25,-0.374423803534158,648.653546088903,656.839382301221,0.00627030299000715,0.125,0.90234375,0.0412371134020619
"139","Korra","Luaner","Release",0,-0.126324076786439,1673.08021384687,1694.79753464851,0.00644836969255918,0.70025634765625,0.3193359375,0
"140","Korra","Myrtle","Release",0,0.26655577475787,2205.34138307679,2206.4263641273,0.000245928868579945,0.259765625,0.767578125,0
"141","Korra","Nova","Release",0.2,0.792636448143875,683.453960150077,858.166883569437,0.113330670204111,0.3125,0.78125,0.03125
"142","Korra","Olive","Release",0,0.0120667909547999,1315.27345544766,1339.10895664131,0.00897967869478597,0.357421875,0.66510009765625,0
"143","Korra","Pandora","Release",0,0.0764966866195088,398.51434087312,410.01565567203,0.0142249698193687,0.28515625,0.751953125,0
"144","Luaner","Dawn","Release",0,0.0797543449037573,718.032077615093,747.835395306885,0.0203315226255641,0.3125,0.8125,0
