"","name","period","night_date","night_12hr","day_12hr","X","home_range","core_range","cohort","morph","fixes"
"120","Myrtle","Settlement",2018-07-07,31,188,116,7.03475891113281,1.95399011230469,"Reinforcer","Dark",64
"121","Myrtle","Settlement",2018-07-08,32,189,117,41.9988927490234,11.6874566650391,"Reinforcer","Dark",64
"122","Nova","Settlement",2018-07-17,41,198,193,211.688378393555,33.4063881591797,"Reinforcer","Dark",126
"123","Nova","Settlement",2018-07-08,32,189,179,424.551991333008,117.297502587891,"Reinforcer","Dark",126
"124","Nova","Settlement",2018-07-24,48,205,189,10.5069955322266,2.03135915527344,"Reinforcer","Dark",126
"125","Nova","Settlement",2018-07-10,34,191,180,120.451841088867,30.1040509521484,"Reinforcer","Dark",126
"126","Nova","Settlement",2018-07-18,42,199,184,218.575891015625,49.6444573730469,"Reinforcer","Dark",126
"127","Nova","Settlement",2018-07-20,44,201,186,288.350799047852,73.2932696777344,"Reinforcer","Dark",126
"128","Nova","Settlement",2018-07-16,40,197,183,555.788233740234,141.759889892578,"Reinforcer","Dark",126
"129","Nova","Settlement",2018-07-15,39,196,182,265.300252661133,72.0257801757813,"Reinforcer","Dark",126
"130","Nova","Settlement",2018-07-25,49,206,190,65.3717771484375,11.8884649658203,"Reinforcer","Dark",126
"131","Nova","Settlement",2018-07-22,46,203,187,4.68161936035156,0.750987377929688,"Reinforcer","Dark",126
"132","Nova","Settlement",2018-07-14,38,195,181,231.304817553711,57.0687219726562,"Reinforcer","Dark",126
"133","Nova","Settlement",2018-07-27,51,208,191,192.438953759766,50.9940411865234,"Reinforcer","Dark",126
"134","Nova","Settlement",2018-07-28,52,209,192,74.9182067626953,11.9402910400391,"Reinforcer","Dark",126
"135","Nova","Settlement",2018-07-23,47,204,188,303.379424023437,82.7626815917969,"Reinforcer","Dark",126
"136","Nova","Settlement",2018-07-19,43,200,185,187.344510351562,48.6343259277344,"Reinforcer","Dark",126
"137","Olive","Settlement",2018-07-25,49,206,174,8.84938266601563,1.85881232910156,"Reinforcer","Fawn",87
"138","Olive","Settlement",2018-07-05,29,186,166,830.003384375,240.878645214844,"Reinforcer","Fawn",87
"139","Olive","Settlement",2018-07-23,47,204,172,42.6106764648437,8.49863842773438,"Reinforcer","Fawn",87
"140","Olive","Settlement",2018-07-27,51,208,176,20.0853766845703,4.06170200195313,"Reinforcer","Fawn",87
"141","Olive","Settlement",2018-07-26,50,207,175,22.7421168701172,3.69063256835938,"Reinforcer","Fawn",87
"142","Olive","Settlement",2018-07-12,36,193,171,27.6749052001953,4.4329298828125,"Reinforcer","Fawn",87
"143","Olive","Settlement",2018-07-06,30,187,167,912.704197998047,230.856578564453,"Reinforcer","Fawn",87
"144","Olive","Settlement",2018-07-08,32,189,169,94.5581949951172,15.7538725830078,"Reinforcer","Fawn",87
"145","Olive","Settlement",2018-07-07,31,188,168,496.495930395508,122.414484375,"Reinforcer","Fawn",87
"146","Olive","Settlement",2018-07-28,52,209,177,214.577383862305,36.3648336669922,"Reinforcer","Fawn",87
"147","Olive","Settlement",2018-07-09,33,190,170,95.9536470703125,12.5435245605469,"Reinforcer","Fawn",87
"148","Olive","Settlement",2018-07-24,48,205,173,52.3497131591797,12.3000526855469,"Reinforcer","Fawn",87
"149","Pandora","Settlement",2018-07-28,52,209,107,34.4800558837891,8.79561433105469,"Reinforcer","Fawn",214
"150","Pandora","Settlement",2018-07-20,44,201,99,9.22280407714844,1.45804187011719,"Reinforcer","Fawn",214
"151","Pandora","Settlement",2018-07-26,50,207,105,53.2255898925781,12.0981002197266,"Reinforcer","Fawn",214
"152","Pandora","Settlement",2018-07-23,47,204,102,33.9815864746094,6.59046088867187,"Reinforcer","Fawn",214
"153","Pandora","Settlement",2018-07-12,36,193,93,8.29024011230469,1.69249196777344,"Reinforcer","Fawn",214
"154","Pandora","Settlement",2018-07-09,33,190,91,17.3058368164062,4.57002045898438,"Reinforcer","Fawn",214
"155","Pandora","Settlement",2018-07-10,34,191,92,1.43027119140625,0.3901486328125,"Reinforcer","Fawn",214
"156","Pandora","Settlement",2018-07-24,48,205,103,10.969646875,2.50071022949219,"Reinforcer","Fawn",214
"157","Pandora","Settlement",2018-07-08,32,189,90,31.7197699462891,8.60374562988281,"Reinforcer","Fawn",214
"158","Pandora","Settlement",2018-07-16,40,197,97,10.3282926757813,2.71607082519531,"Reinforcer","Fawn",214
"159","Pandora","Settlement",2018-07-19,43,200,98,0.67366884765625,0.104112719726562,"Reinforcer","Fawn",214
"160","Pandora","Settlement",2018-07-17,41,198,108,21.5432451171875,5.93733203125,"Reinforcer","Fawn",214
"161","Pandora","Settlement",2018-07-07,31,188,89,33.1189727050781,8.05945412597656,"Reinforcer","Fawn",214
"162","Pandora","Settlement",2018-07-27,51,208,106,73.9555748535156,17.7451563476562,"Reinforcer","Fawn",214
"163","Pandora","Settlement",2018-07-25,49,206,104,330.408832788086,70.3338155761719,"Reinforcer","Fawn",214
"164","Pandora","Settlement",2018-07-14,38,195,95,17.8453809082031,4.80923273925781,"Reinforcer","Fawn",214
"165","Pandora","Settlement",2018-07-21,45,202,100,7.702236328125,1.30251013183594,"Reinforcer","Fawn",214
"166","Pandora","Settlement",2018-07-22,46,203,101,5.32718835449219,0.920526416015625,"Reinforcer","Fawn",214
"167","Pandora","Settlement",2018-07-15,39,196,96,4.24099743652344,0.761233837890625,"Reinforcer","Fawn",214
"168","Pandora","Settlement",2018-07-13,37,194,94,0.441408203125,0.08736591796875,"Reinforcer","Fawn",214
